iter	Passed	Remaining
0	1	143
1	2	143
2	4	137
3	5	128
4	7	135
5	9	142
6	11	146
7	12	145
8	14	146
9	15	142
10	17	138
11	18	135
12	19	132
13	21	129
14	22	128
15	24	126
16	25	124
17	26	121
18	28	120
19	29	118
20	31	116
21	32	114
22	33	112
23	35	110
24	36	109
25	37	107
26	39	106
27	40	104
28	41	102
29	43	101
30	44	99
31	46	97
32	47	96
33	48	95
34	50	93
35	51	91
36	53	90
37	54	89
38	56	87
39	57	86
40	58	84
41	59	82
42	61	80
43	62	79
44	63	77
45	65	76
46	66	74
47	68	73
48	69	72
49	70	70
50	72	69
51	73	68
52	74	66
53	76	64
54	77	63
55	78	61
56	79	60
57	81	58
58	82	57
59	84	56
60	85	54
61	87	53
62	88	51
63	89	50
64	90	48
65	92	47
66	93	46
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	101	35
74	102	34
75	103	32
76	105	31
77	106	29
78	107	28
79	108	27
80	109	25
81	110	24
82	112	23
83	113	21
84	115	20
85	116	19
86	118	17
87	119	16
88	121	14
89	122	13
90	123	12
91	124	10
92	125	9
93	126	8
94	128	6
95	130	5
96	131	4
97	133	2
98	134	1
99	135	0
